TIME,WBHP:2B,WGPR:2B,WGPT:2B,WOPR:2B,WOPT:2B,WWCT:2B,WWPR:2B,WWPT:2B,WWPR:2B
0,3610,0,0,0,0,0,0,0,0
1,3544.07,6518.92,6518.92,4717.7,4717.7,0.14129,776.238,776.238,0.1645373805
4,3537.47,6314.58,25462.7,4574.08,18439.9,0.169956,936.567,3585.94,0.2047552732
13,3532.02,5805.25,77709.9,4206.39,56297.4,0.242031,1343.16,15674.4,0.3193141863
39.56,3518.9,4649.93,201222,3371.75,145858,0.401812,2264.86,75833.9,0.6717164677
69.78,3507.69,3713.76,313448,2694.47,227282,0.527828,3012.07,166855,1.117871047
100,3505.16,3119.4,407713,2264.21,295704,0.606272,3486.5,272214,1.5398306694
150,3504.62,2488.73,532149,1806.95,386052,0.688314,3990.38,471733,2.2083510889
200,3505.14,2094.61,636880,1520.39,462071,0.739045,4305.86,687026,2.8320759805
300,3506.47,1600.72,796952,1157.54,577825,0.802518,4703.96,1157420,4.0637558961
400,3507.79,1274.68,924420,918.77,669702,0.843879,4966.2,1654040,5.4052700894
500,3508.92,1076.92,1032110,776.223,747325,0.868432,5123.58,2166400,6.6006547088
600,3509.82,950.09,1127120,684.767,815801,0.884121,5224.54,2688850,7.629660892
700,3510.53,855.879,1212710,616.833,877485,0.895741,5299.53,3218810,8.5915150454
800,3511.13,779.612,1290670,561.843,933669,0.905128,5360.24,3754830,9.5404588114
900,3511.65,715.558,1362230,515.662,985235,0.912996,5411.22,4295950,10.4937342678
1000,3512.1,661.43,1428370,476.639,1032900,0.919635,5454.3,4841380,11.4432516013
1100,3512.56,616.177,1489990,444.017,1077300,0.925178,5490.32,5390420,12.3651121466
1200,3513.02,577.3,1547720,415.992,1118900,0.929935,5521.26,5942540,13.2725148561
1300,3513.46,543.103,1602030,391.34,1158030,0.934116,5548.48,6497390,14.1781571012
1400,3513.9,513.344,1653360,369.886,1195020,0.937751,5572.16,7054610,15.0645333968
1500,3514.33,486.522,1702010,350.551,1230080,0.941025,5593.51,7613960,15.956337309
