TIME,WBHP:3B,WGPR:3B,WGPT:3B,WOPR:3B,WOPT:3B,WWCT:3B,WWPR:3B,WWPT:3B,WWOR:3B
0,3610,0,0,0,0,0,0,0,0
1,3504.65,9647.53,9647.53,7016.29,7016.29,0.150538,1243.4,1243.4,0.1772161641
4,3486.25,9228.65,37333.5,6733.31,27216.2,0.188361,1562.63,5931.29,0.2320745666
11.24,3469.4,8312.23,97481.9,6076.3,71185.1,0.273657,2289.31,22497,0.3767605286
29.76,3446,6627.28,220243,4852.24,161066,0.428467,3637.62,89878.9,0.749678499
60,3428.82,4962.42,370285,3637.14,271038,0.577639,4974.3,240280,1.3676405088
100,3428.28,3795.49,522122,2758.05,381372,0.682605,5931.61,477572,2.1506535415
150,3431.29,2968.18,670531,2152.49,488997,0.753993,6597.24,807434,3.0649340996
200,3433.5,2390.41,790051,1733.72,575683,0.802825,7059.06,1160390,4.0716263295
300,3436.3,1759.88,966040,1276.5,703333,0.855595,7563.18,1916700,5.9249353702
400,3438.38,1432.19,1109260,1038.7,807203,0.882818,7825.31,2699240,7.5337537306
500,3439.89,1224.69,1231730,888.087,896011,0.899984,7991.32,3498370,8.9983526389
600,3441.06,1071.05,1338830,776.596,973671,0.912652,8114.22,4309790,10.4484442361
700,3442,951.796,1434010,690.073,1042680,0.922461,8209.6,5130750,11.8967123768
800,3442.9,859.156,1519930,622.868,1104960,0.930066,8283.69,5959120,13.2992704714
900,3443.77,782.927,1598220,567.573,1161720,0.936315,8344.65,6793580,14.7023378491
1000,3444.69,719.351,1670160,521.459,1213870,0.94152,8395.49,7633130,16.1000001918
1100,3445.55,665.031,1736660,482.053,1262070,0.945964,8438.93,8477030,17.5062285682
1200,3446.36,617.665,1798420,447.697,1306840,0.949835,8476.81,9324710,18.9342568746
1300,3447.09,576.016,1856030,417.488,1348590,0.953236,8510.11,10175700,20.3840828958
1400,3447.69,543.079,1910330,393.587,1387950,0.955925,8536.46,11029400,21.6888769192
1500,3448.24,513.185,1961650,371.901,1425140,0.958364,8560.36,11885400,23.0178461472
