TIME,WBHP:4A,WGPR:4A,WGPT:4A,WOPR:4A,WOPT:4A,WWCT:4A,WWPR:4A,WWPT:4A,WWOR:4A
0,3610,0,0,0,0,0,0,0,0
1,3346.46,9299.41,9299.41,6892.66,6892.66,0.171454,1426.32,1426.32,0.2069331724
2.95,3285.92,8681.68,26199.5,6496.49,19539,0.224532,1881.02,5087.98,0.2895440461
6.58,3229.98,7845.78,54735.6,5832.56,40752.7,0.307581,2590.9,14511.4,0.4442131757
15.04,3166.85,6527.01,109908,4809.98,81411.1,0.434277,3692.38,45722.8,0.7676497615
29.25,3114.37,5088.95,182247,3773.59,135053,0.561625,4834.55,114446,1.2811540204
54.92,3076.48,3821.12,280335,2858.73,208436,0.671464,5842.68,264427,2.0438026676
77.46,3050.76,3202.04,352507,2370.27,261860,0.728606,6363.41,407853,2.6846772731
100,3024.38,2723.49,413892,2017.32,307329,0.769857,6748.19,559952,3.345126207
150,2964.66,2113.53,519569,1577.07,386182,0.821007,7233.71,921638,4.5868033759
200,2906.97,1795.54,609346,1330.04,452684,0.849162,7487.61,1296020,5.6296126432
300,2810.78,1868.08,796154,1037.03,556387,0.878137,7472.78,2043300,7.2059438975
400,2739.63,2321.63,1028320,816.98,638085,0.897329,7140.27,2757320,8.7398345125
500,2669.23,2608.66,1289180,668.835,704969,0.911605,6897.62,3447090,10.3128873339
600,2603.96,2966.58,1585840,549.582,759927,0.922966,6584.69,4105560,11.9812694011
700,2533.81,3142.08,1900050,467.982,806725,0.931794,6393.27,4744880,13.6613587702
800,2462.07,3223.21,2222370,411.724,847898,0.938338,6265.35,5371420,15.2173543442
900,2391.45,3234.15,2545780,371.81,885079,0.943322,6188.21,5990240,16.6434738173
1000,2321.38,3206.56,2866440,341.92,919271,0.947241,6138.89,6604130,17.9541705662
1100,2252.58,3161.59,3182600,318.215,951092,0.950447,6103.51,7214480,19.1804597521
1200,2185.78,3118.19,3494420,298.225,980914,0.953143,6066.37,7821120,20.3415877274
1300,2124.93,3166.39,3811060,276.866,1008600,0.955492,5943.74,8415490,21.4679303345
1400,2066.05,3156.57,4126720,259.72,1034570,0.957642,5871.78,9002670,22.6081164331
1500,2008.94,3112.54,4437970,245.688,1059140,0.959587,5833.7,9586040,23.744342418
