Days,dd/mm/yyyy,FGOR,FGPR,FGPT,FOE,FOPR,FOPT,FWCT,FWPR,FWPT,TIME,WBHP:PROD,WGPR:PROD,WGPT:PROD,WOPR:PROD,WOPT:PROD,WWCT:PROD,WWPR:PROD,WWPT:PROD,YEARS,
0.00,01/01/1990,0,0,0,0,0,0,0,0,0,0,3610,0,0,0,0,0,0,0,0,
1.00,02/01/1990,1.38041,3248.75,3248.75,0.000200599,2353.47,2353.47,0.143692,394.922,394.922,1,3534.19,3248.75,3248.75,2353.47,2353.47,0.143692,394.922,394.922,0.00273785,
4.00,05/01/1990,1.3796,3142.96,12677.6,0.000782292,2278.16,9187.96,0.173705,478.918,1831.68,4,3528.96,3142.96,12677.6,2278.16,9187.96,0.173705,478.918,1831.68,0.0109514,
12.66,13/01/1990,1.38008,2887.49,37674.4,0.00232418,2092.25,27300.5,0.24649,684.424,7756.7,12.6569,3525.72,2887.49,37674.4,2092.25,27300.5,0.24649,684.424,7756.7,0.0346528,
37.08,07/02/1990,1.37954,2358.59,95286,0.00587848,1709.69,69061.8,0.393028,1107.06,34798.1,37.0832,3513.15,2358.59,95286,1709.69,69061.8,0.393028,1107.06,34798.1,0.101528,
68.54,10/03/1990,1.37873,1905.1,155217,0.00957804,1381.78,112530,0.515281,1468.9,81007.3,68.5416,3500.25,1905.1,155217,1381.78,112530,0.515281,1468.9,81007.3,0.187657,
100.00,11/04/1990,1.37809,1616.59,206073,0.0127188,1173.07,149433,0.591556,1698.97,134454,100,3496.16,1616.59,206073,1173.07,149433,0.591556,1698.97,134454,0.273785,
150.00,31/05/1990,1.37841,1325.26,272336,0.0168096,961.439,197505,0.667704,1931.88,231049,150,3494.49,1325.26,272336,961.439,197505,0.667704,1931.88,231049,0.410678,
200.00,20/07/1990,1.38741,1146.59,329665,0.0203264,826.422,238826,0.715517,2078.58,334977,200,3495.27,1146.59,329665,826.422,238826,0.715517,2078.58,334977,0.54757,
300.00,28/10/1990,1.3891,921.469,421812,0.0259721,663.359,305162,0.772943,2258.2,560797,300,3497.13,921.469,421812,663.359,305162,0.772943,2258.2,560797,0.821355,
400.00,05/02/1991,1.38899,767.6,498572,0.0306755,552.632,360425,0.811586,2380.44,798841,400,3498.43,767.6,498572,552.632,360425,0.811586,2380.44,798841,1.09514,
500.00,16/05/1991,1.38893,663.6,564932,0.0347418,477.776,408203,0.837538,2463.07,1.04515e+06,500,3499.48,663.6,564932,477.776,408203,0.837538,2463.07,1.04515e+06,1.36893,
600.00,24/08/1991,1.38892,591.816,624114,0.0383683,426.097,450813,0.855375,2520.11,1.29716e+06,600,3500.33,591.816,624114,426.097,450813,0.855375,2520.11,1.29716e+06,1.64271,
700.00,02/12/1991,1.38895,540.712,678185,0.0416815,389.296,489742,0.868036,2560.73,1.55323e+06,700,3501.05,540.712,678185,389.296,489742,0.868036,2560.73,1.55323e+06,1.9165,
800.00,11/03/1992,1.38899,501.845,728369,0.0447565,361.303,525872,0.877646,2591.62,1.81239e+06,800,3501.68,501.845,728369,361.303,525872,0.877646,2591.62,1.81239e+06,2.19028,
900.00,19/06/1992,1.38903,470.26,775395,0.0476379,338.552,559728,0.885442,2616.73,2.07407e+06,900,3502.23,470.26,775395,338.552,559728,0.885442,2616.73,2.07407e+06,2.46407,
1000.00,27/09/1992,1.38907,442.875,819683,0.0503509,318.828,591611,0.89219,2638.5,2.33792e+06,1000,3502.73,442.875,819683,318.828,591611,0.89219,2638.5,2.33792e+06,2.73785,
1100.00,05/01/1993,1.38912,419.315,861614,0.0529199,301.858,621796,0.89799,2657.23,2.60364e+06,1100,3503.17,419.315,861614,301.858,621796,0.89799,2657.23,2.60364e+06,3.01164,
1200.00,15/04/1993,1.38915,398.558,901470,0.0553614,286.907,650487,0.903093,2673.73,2.87101e+06,1200,3503.57,398.558,901470,286.907,650487,0.903093,2673.73,2.87101e+06,3.28542,
1300.00,24/07/1993,1.38919,380.221,939492,0.0576906,273.7,677857,0.907596,2688.3,3.13984e+06,1300,3503.97,380.221,939492,273.7,677857,0.907596,2688.3,3.13984e+06,3.55921,
1400.00,01/11/1993,1.38922,363.912,975884,0.0599199,261.953,704052,0.911598,2701.27,3.40997e+06,1400,3504.35,363.912,975884,261.953,704052,0.911598,2701.27,3.40997e+06,3.83299,
1500.00,09/02/1994,1.38926,349.252,1.01081e+06,0.0620593,251.394,729192,0.915193,2712.92,3.68126e+06,1500,3504.7,349.252,1.01081e+06,251.394,729192,0.915193,2712.92,3.68126e+06,4.10678,
