Days,dd/mm/yyyy,CLFR:PROD:2.5.1,CLFR:PROD:3.5.1,CLFR:PROD:38,CLFR:PROD:39,CLFR:PROD:4.5.1,CLFR:PROD:40,CLFR:PROD:41,CLFR:PROD:42,CLFR:PROD:43,CLFR:PROD:44,CLFR:PROD:5.5.1,CLFR:PROD:6.5.1,CLFR:PROD:7.5.1,CLFR:PROD:8.5.1,CPI:PROD:2.5.1,CPI:PROD:3.5.1,CPI:PROD:38,CPI:PROD:39,CPI:PROD:4.5.1,CPI:PROD:40,CPI:PROD:41,CPI:PROD:42,CPI:PROD:43,CPI:PROD:44,CPI:PROD:5.5.1,CPI:PROD:6.5.1,CPI:PROD:7.5.1,CPI:PROD:8.5.1,CPR:PROD:2.5.1,CPR:PROD:3.5.1,CPR:PROD:4.5.1,CPR:PROD:5.5.1,CPR:PROD:6.5.1,CPR:PROD:7.5.1,CPR:PROD:8.5.1,CTFAC:PROD:2.5.1,CTFAC:PROD:3.5.1,CTFAC:PROD:38,CTFAC:PROD:39,CTFAC:PROD:4.5.1,CTFAC:PROD:40,CTFAC:PROD:41,CTFAC:PROD:42,CTFAC:PROD:43,CTFAC:PROD:44,CTFAC:PROD:5.5.1,CTFAC:PROD:6.5.1,CTFAC:PROD:7.5.1,CTFAC:PROD:8.5.1,FGOR,FGPR,FGPT,FOE,FOPR,FOPT,FWCT,FWPR,FWPT,TIME,WBHP:PROD,WGPR:PROD,WGPT:PROD,WOPR:PROD,WOPT:PROD,WWCT:PROD,WWPR:PROD,WWPT:PROD,YEARS
0,01/01/1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,3600,3600,3600,3600,3600,3600,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0,0
1,02/01/1990,446.883,416.575,446.883,416.575,412.09,412.09,412.848,417.021,427.487,467.096,412.848,417.021,427.487,467.096,25.693,25.6741,25.693,25.6741,25.6722,25.6722,25.6657,25.6529,25.6333,25.6261,25.6657,25.6529,25.6333,25.6261,3576.31,3576.28,3576.2,3576.01,3575.69,3575.19,3574.47,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,1.38709,3629.05,3629.05,0.00022945,2616.3,2616.3,0.127901,383.702,383.702,1,3573.96,3629.05,3629.05,2616.3,2616.3,0.127901,383.702,383.702,0.00273785
4,05/01/1990,452.074,416.639,452.074,416.639,410.701,410.701,410.677,414.747,425.735,469.427,410.677,414.747,425.735,469.427,23.8051,23.786,23.8051,23.786,23.7983,23.7983,23.7901,23.7615,23.7065,23.6836,23.7901,23.7615,23.7065,23.6836,3584.73,3584.7,3584.62,3584.43,3584.11,3583.61,3582.89,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,1.38986,3562.42,14316.3,0.000903814,2563.14,10305.7,0.145619,436.857,1694.27,4,3582.38,3562.42,14316.3,2563.14,10305.7,0.145619,436.857,1694.27,0.0109514
13,14/01/1990,452.579,416.888,452.579,416.888,411.135,411.135,411.038,414.835,425.09,468.435,411.038,414.835,425.09,468.435,20.6041,20.4873,20.6041,20.4873,20.5044,20.5044,20.5001,20.472,20.417,20.4954,20.5001,20.472,20.417,20.4954,3588.45,3588.43,3588.34,3588.16,3587.84,3587.34,3586.62,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,1.39035,3379.93,44735.7,0.00282274,2430.99,32184.6,0.18967,569.01,6815.36,13,3586.12,3379.93,44735.7,2430.99,32184.6,0.18967,569.01,6815.36,0.0355921
40,10/02/1990,453.774,416.685,453.774,416.685,411.54,411.54,411.475,414.817,423.938,467.771,411.475,414.817,423.938,467.771,15.7362,15.1686,15.7362,15.1686,15.1683,15.1683,15.1574,15.1169,15.0584,15.575,15.1574,15.1169,15.0584,15.575,3585.04,3585.02,3584.93,3584.75,3584.43,3583.94,3583.23,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,1.3905,2933.13,123930,0.00781765,2109.41,89138.8,0.296862,890.585,30861.2,40,3582.73,2933.13,123930,2109.41,89138.8,0.296862,890.585,30861.2,0.109514
70,12/03/1990,454.097,416.62,454.097,416.62,411.98,411.98,411.949,415.025,423.331,466.999,411.949,415.025,423.331,466.999,12.3766,11.5219,12.3766,11.5219,11.5062,11.5062,11.4933,11.456,11.4141,12.218,11.4933,11.456,11.4141,12.218,3581.76,3581.74,3581.65,3581.47,3581.15,3580.66,3579.96,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,1.39063,2532.14,199894,0.0126084,1820.86,143765,0.393045,1179.14,66235.2,70,3579.47,2532.14,199894,1820.86,143765,0.393045,1179.14,66235.2,0.19165
100,11/04/1990,455.158,416.379,455.158,416.379,411.949,411.949,411.892,414.757,422.602,467.263,411.892,414.757,422.602,467.263,10.1824,9.15051,10.1824,9.15051,9.12153,9.12153,9.10652,9.07378,9.04921,10.0384,9.10652,9.07378,9.04921,10.0384,3579.15,3579.12,3579.04,3578.86,3578.54,3578.06,3577.36,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,1.39067,2212.17,266260,0.0167935,1590.72,191486,0.469761,1409.28,108514,100,3576.87,2212.17,266260,1590.72,191486,0.469761,1409.28,108514,0.273785
150,31/05/1990,454.66,416.322,454.66,416.322,412.417,412.417,412.424,415.348,422.837,465.99,412.424,415.348,422.837,465.99,7.953,6.85896,7.953,6.85896,6.8327,6.8327,6.82137,6.80547,6.80181,7.82904,6.82137,6.80547,6.80181,7.82904,3576.18,3576.16,3576.07,3575.89,3575.58,3575.1,3574.41,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,1.39055,1834.68,357993,0.0225791,1319.39,257456,0.560203,1680.61,192544,150,3573.92,1834.68,357993,1319.39,257456,0.560203,1680.61,192544,0.410678
200,20/07/1990,445.901,420.123,445.901,420.123,415.644,415.644,415.538,418.509,426.457,457.828,415.538,418.509,426.457,457.828,6.73567,6.03996,6.73567,6.03996,6.0034,6.0034,5.99005,5.97291,5.97533,6.65849,5.99005,5.97291,5.97533,6.65849,3575.84,3575.82,3575.73,3575.56,3575.25,3574.77,3574.07,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,1.39041,1580.92,437039,0.0275645,1137.01,314306,0.620996,1862.99,285694,200,3573.59,1580.92,437039,1137.01,314306,0.620996,1862.99,285694,0.54757
300,28/10/1990,442.797,421.402,442.797,421.402,417.037,417.037,416.91,419.916,427.805,454.133,416.91,419.916,427.805,454.133,5.74201,4.9535,5.74201,4.9535,4.9131,4.9131,4.89988,4.88541,4.89455,5.64728,4.89988,4.88541,4.89455,5.64728,3576.46,3576.44,3576.36,3576.18,3575.87,3575.39,3574.71,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,1.39036,1267.21,563760,0.0355577,911.428,405449,0.696191,2088.57,494551,300,3574.23,1267.21,563760,911.428,405449,0.696191,2088.57,494551,0.821355
400,05/02/1991,441.731,421.919,441.731,421.919,417.484,417.484,417.311,420.301,428.182,453.071,417.311,420.301,428.182,453.071,5.07169,4.22503,5.07169,4.22503,4.17669,4.17669,4.16271,4.14855,4.16468,4.98045,4.16271,4.14855,4.16468,4.98045,3577.29,3577.27,3577.19,3577.01,3576.71,3576.23,3575.55,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,1.39044,1068.09,670569,0.0422941,768.167,482266,0.743944,2231.83,717734,400,3575.07,1068.09,670569,768.167,482266,0.743944,2231.83,717734,1.09514
500,16/05/1991,441.644,422.061,441.644,422.061,417.592,417.592,417.384,420.362,428.216,452.742,417.384,420.362,428.216,452.742,4.54167,3.64965,4.54167,3.64965,3.59648,3.59648,3.58252,3.56904,3.59037,4.44491,3.58252,3.56904,3.59037,4.44491,3577.95,3577.93,3577.85,3577.68,3577.37,3576.9,3576.22,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,1.39051,916.743,762243,0.0480761,659.285,548194,0.780238,2340.72,951806,500,3575.74,916.743,762243,659.285,548194,0.780238,2340.72,951806,1.36893
600,24/08/1991,441.759,422.12,441.759,422.12,417.617,417.617,417.378,420.341,428.171,452.614,417.378,420.341,428.171,452.614,4.08812,3.19348,4.08812,3.19348,3.13854,3.13854,3.12516,3.11272,3.13729,3.9895,3.12516,3.11272,3.13729,3.9895,3578.48,3578.46,3578.38,3578.2,3577.9,3577.43,3576.75,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,1.39057,798.157,842059,0.0531099,573.978,605592,0.808674,2426.02,1194410,600,3576.28,798.157,842059,573.978,605592,0.808674,2426.02,1194410,1.64271
700,02/12/1991,441.954,422.136,441.954,422.136,417.602,417.602,417.336,420.283,428.093,452.596,417.336,420.283,428.093,452.596,3.7038,2.83191,3.7038,2.83191,2.77686,2.77686,2.76419,2.75283,2.77933,3.60651,2.76419,2.75283,2.77933,3.60651,3578.9,3578.88,3578.8,3578.62,3578.32,3577.85,3577.17,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,1.39062,704.833,912542,0.0575549,506.849,656277,0.83105,2493.15,1443720,700,3576.7,704.833,912542,506.849,656277,0.83105,2493.15,1443720,1.9165
800,11/03/1992,442.165,422.084,442.165,422.084,417.591,417.591,417.324,420.247,427.975,452.613,417.324,420.247,427.975,452.613,3.3794,2.54551,3.3794,2.54551,2.49852,2.49852,2.48749,2.47789,2.5,3.2848,2.48749,2.47789,2.5,3.2848,3579.25,3579.23,3579.15,3578.98,3578.67,3578.2,3577.53,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,1.39066,631.998,975742,0.0615405,454.458,701723,0.848514,2545.54,1698280,800,3577.06,631.998,975742,454.458,701723,0.848514,2545.54,1698280,2.19028
900,19/06/1992,442.398,422.045,442.398,422.045,417.554,417.554,417.27,420.173,427.852,452.709,417.27,420.173,427.852,452.709,3.11213,2.34646,3.11213,2.34646,2.30433,2.30433,2.29428,2.2858,2.30539,3.02212,2.29428,2.2858,2.30539,3.02212,3579.57,3579.55,3579.47,3579.3,3578.99,3578.53,3577.85,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,1.39071,579.06,1033650,0.0651922,416.377,743361,0.861208,2583.62,1956640,900,3577.38,579.06,1033650,416.377,743361,0.861208,2583.62,1956640,2.46407
1000,27/09/1992,442.77,421.941,442.77,421.941,417.46,417.46,417.161,420.047,427.682,452.939,417.161,420.047,427.682,452.939,2.88479,2.19693,2.88479,2.19693,2.1579,2.1579,2.14842,2.14059,2.15851,2.79978,2.14842,2.14059,2.15851,2.79978,3579.84,3579.82,3579.74,3579.56,3579.26,3578.79,3578.12,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,1.39076,537.796,1087430,0.0685835,386.693,782030,0.871102,2613.31,2217970,1000,3577.65,537.796,1087430,386.693,782030,0.871102,2613.31,2217970,2.73785
