Days,dd/mm/yyyy,CLFR:PROD:6.5.1,CLFR:PROD:7.5.1,CLFR:PROD:8.5.1,CPI:PROD:6.5.1,CPI:PROD:7.5.1,CPI:PROD:8.5.1,CPR:PROD:6.5.1,CPR:PROD:7.5.1,CPR:PROD:8.5.1,CTFAC:PROD:6.5.1,CTFAC:PROD:7.5.1,CTFAC:PROD:8.5.1,FGOR,FGPR,FGPT,FOE,FOPR,FOPT,FWCT,FWPR,FWPT,TIME,WBHP:PROD,WGPR:PROD,WGPT:PROD,WOPR:PROD,WOPT:PROD,WWCT:PROD,WWPR:PROD,WWPT:PROD,YEARS
0,01/01/1990,0,0,0,0,0,0,3600,3600,3600,58.5358,58.5358,58.5358,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0,0
1,02/01/1990,3034.25,2903.18,3062.57,18.5284,18.2966,18.4106,3319.49,3318.45,3314.5,58.5358,58.5358,58.5358,1.34558,9991.08,9991.08,0.000651183,7425.1,7425.1,0.174989,1574.9,1574.9,1,3309.96,9991.08,9991.08,7425.1,7425.1,0.174989,1574.9,1574.9,0.00273785
2.92,03/01/1990,3072.42,2864.67,3062.91,13.1094,12.7216,12.9722,3234.03,3232.97,3229.03,58.5358,58.5358,58.5358,1.33202,9025.69,27298.9,0.00179073,6775.96,20418.7,0.247116,2224.04,5839.75,2.91761,3224.51,9025.69,27298.9,6775.96,20418.7,0.247116,2224.04,5839.75,0.00798798
6.29,07/01/1990,3087.43,2848.36,3064.21,10.3273,9.77483,10.2424,3180.98,3179.9,3175.92,58.5358,58.5358,58.5358,1.35516,8205.85,54949,0.00358015,6055.28,40822.4,0.327191,2944.72,15762.2,6.28718,3171.35,8205.85,54949,6055.28,40822.4,0.327191,2944.72,15762.2,0.0172134
14.09,15/01/1990,3098.96,2839.76,3061.27,7.66992,6.78174,7.50923,3134.96,3133.88,3129.94,58.5358,58.5358,58.5358,1.36027,6645.1,106820,0.00692438,4885.12,78954.9,0.457209,4114.88,47882.3,14.093,3125.41,6645.1,106820,4885.12,78954.9,0.457209,4114.88,47882.3,0.0385846
31.5,01/02/1990,3104.51,2837.7,3057.79,5.17594,4.09762,4.93741,3090.54,3089.47,3085.61,58.5358,58.5358,58.5358,1.35796,4800.17,190380,0.0123209,3534.84,140488,0.60724,5465.16,143018,31.5007,3081.18,4800.17,190380,3534.84,140488,0.60724,5465.16,143018,0.0862444
58.44,28/02/1990,3100.41,2849.18,3050.41,3.61043,2.54709,3.31876,3055.6,3054.55,3050.74,58.5358,58.5358,58.5358,1.35768,3449.03,283287,0.0183223,2540.39,208920,0.717735,6459.61,317023,58.4381,3046.39,3449.03,283287,2540.39,208920,0.717735,6459.61,317023,0.159995
100,11/04/1990,3090.59,2871.76,3037.64,2.59362,1.64838,2.25875,3026.19,3025.16,3021.38,58.5358,58.5358,58.5358,1.35858,2488.68,386722,0.0249999,1831.82,285054,0.796464,7168.18,614946,100,3017.08,2488.68,386722,1831.82,285054,0.796464,7168.18,614946,0.273785
150,31/05/1990,3087.11,2878.22,3034.66,2.01385,1.18362,1.66272,3008.88,3007.86,3004.1,58.5358,58.5358,58.5358,1.3724,1934.86,483465,0.031182,1409.83,355545,0.843352,7590.17,994455,150,2999.83,1934.86,483465,1409.83,355545,0.843352,7590.17,994455,0.410678
200,20/07/1990,3074.22,2892.87,3032.9,1.66437,0.967844,1.33357,2999.27,2998.26,2994.51,58.5358,58.5358,58.5358,1.37669,1608.79,563904,0.0363064,1168.59,413975,0.870156,7831.41,1386020,200,2990.26,1608.79,563904,1168.59,413975,0.870156,7831.41,1386020,0.54757
