Days,dd/mm/yyyy,CLFR:PROD:2.5.1,CLFR:PROD:3.5.1,CLFR:PROD:4.5.1,CLFR:PROD:5.5.1,CLFR:PROD:6.5.1,CLFR:PROD:7.5.1,CLFR:PROD:8.5.1,CPI:PROD:2.5.1,CPI:PROD:3.5.1,CPI:PROD:4.5.1,CPI:PROD:5.5.1,CPI:PROD:6.5.1,CPI:PROD:7.5.1,CPI:PROD:8.5.1,CPR:PROD:2.5.1,CPR:PROD:3.5.1,CPR:PROD:4.5.1,CPR:PROD:5.5.1,CPR:PROD:6.5.1,CPR:PROD:7.5.1,CPR:PROD:8.5.1,CTFAC:PROD:2.5.1,CTFAC:PROD:3.5.1,CTFAC:PROD:4.5.1,CTFAC:PROD:5.5.1,CTFAC:PROD:6.5.1,CTFAC:PROD:7.5.1,CTFAC:PROD:8.5.1,FGOR,FGPR,FGPT,FOE,FOPR,FOPT,FWCT,FWPR,FWPT,TIME,WBHP:PROD,WGPR:PROD,WGPT:PROD,WOPR:PROD,WOPT:PROD,WWCT:PROD,WWPR:PROD,WWPT:PROD,YEARS
0,01/01/1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,3600,3600,3600,3600,3600,3600,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0,0
1,02/01/1990,1284.35,1221.92,1220.87,1235.02,1264.36,1317.31,1456.17,23.0514,22.9677,22.9437,22.8951,22.8092,22.6779,22.5792,3497.33,3497.14,3496.43,3494.87,3492.11,3487.77,3481.41,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,1.37214,10561.8,10561.8,0.000675544,7697.28,7697.28,0.144746,1302.72,1302.72,1,3476.88,10561.8,10561.8,7697.28,7697.28,0.144746,1302.72,1302.72,0.00273785
3.81,04/01/1990,1324.89,1229.81,1218.76,1226.21,1249.33,1297.56,1453.44,18.8383,18.6698,18.6395,18.5812,18.4777,18.3218,18.2774,3473.55,3473.35,3472.61,3471.02,3468.24,3463.89,3457.55,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,1.36737,9936.86,38502.9,0.00246764,7267.13,28131.5,0.192541,1732.87,6175.32,3.81187,3453.04,9936.86,38502.9,7267.13,28131.5,0.192541,1732.87,6175.32,0.0104363
9.97,10/01/1990,1338.02,1234.06,1221.04,1226.34,1246.24,1289.9,1444.4,14.9507,14.5836,14.5513,14.485,14.3602,14.1746,14.2982,3455.98,3455.78,3455.04,3453.45,3450.66,3446.32,3440.02,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,1.3647,8937.98,93573.4,0.00600666,6549.42,68485.1,0.272286,2450.58,21274.3,9.97327,3435.54,8937.98,93573.4,6549.42,68485.1,0.272286,2450.58,21274.3,0.0273053
26.45,27/01/1990,1337.37,1241.47,1229.87,1233.99,1250.58,1287.07,1419.65,9.53493,8.94205,8.90379,8.84918,8.74883,8.61127,8.98165,3431.01,3430.81,3430.08,3428.5,3425.73,3421.42,3415.17,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,1.36259,7030.19,209377,0.0134602,5159.44,153473,0.426729,3840.56,84537.2,26.4456,3410.76,7030.19,209377,5159.44,153473,0.426729,3840.56,84537.2,0.072404
54.57,24/02/1990,1335.33,1242.99,1233.91,1237.03,1249.71,1278.9,1422.13,5.84444,5.09446,5.05873,5.0208,4.95389,4.88578,5.66022,3405.72,3405.52,3404.8,3403.24,3400.5,3396.25,3390.1,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,1.3636,5150.04,354198,0.0227744,3776.8,259678,0.580355,5223.2,231416,54.566,3385.76,5150.04,354198,3776.8,259678,0.580355,5223.2,231416,0.149394
100,11/04/1990,1339.9,1240.12,1230.79,1235.03,1250.3,1283.17,1420.69,3.98261,3.16204,3.11832,3.10002,3.07913,3.07811,3.84342,3391.32,3391.12,3390.41,3388.86,3386.16,3381.95,3375.86,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,1.37757,3661.36,520548,0.0333647,2657.83,380434,0.704686,6342.17,519566,100,3371.56,3661.36,520548,2657.83,380434,0.704686,6342.17,519566,0.273785
150,31/05/1990,1322.12,1247.42,1238.75,1242.98,1258.26,1290.46,1400.01,2.92336,2.29196,2.25732,2.24347,2.22816,2.2306,2.8209,3385.33,3385.15,3384.45,3382.91,3380.23,3376.04,3369.97,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,1.37828,2787.75,659936,0.042234,2022.63,481566,0.775263,6977.37,868434,150,3365.71,2787.75,659936,2022.63,481566,0.775263,6977.37,868434,0.410678
200,20/07/1990,1318.75,1249.32,1240.81,1244.96,1259.97,1291.58,1394.61,2.35819,1.77224,1.73936,1.72785,1.71545,1.72192,2.27118,3382.34,3382.16,3381.46,3379.94,3377.26,3373.09,3367.05,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,1.37807,2243.28,772100,0.0493721,1627.84,562958,0.819129,7372.16,1237040,200,3362.82,2243.28,772100,1627.84,562958,0.819129,7372.16,1237040,0.54757
300,28/10/1990,1312.59,1252.05,1244.01,1248.09,1262.94,1293.82,1386.51,1.70003,1.25776,1.2347,1.22728,1.22065,1.2284,1.63883,3378.94,3378.76,3378.07,3376.56,3373.9,3369.75,3363.73,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,1.37811,1650.24,937124,0.0598745,1197.46,682704,0.866949,7802.54,2017300,300,3359.52,1650.24,937124,1197.46,682704,0.866949,7802.54,2017300,0.821355
