Days,dd/mm/yyyy,CLFR:PROD:10.6.2,CLFR:PROD:11.6.2,CLFR:PROD:215,CLFR:PROD:216,CLFR:PROD:217,CLFR:PROD:218,CLFR:PROD:219,CLFR:PROD:7.6.2,CLFR:PROD:8.6.2,CLFR:PROD:9.6.2,CPI:PROD:10.6.2,CPI:PROD:11.6.2,CPI:PROD:215,CPI:PROD:216,CPI:PROD:217,CPI:PROD:218,CPI:PROD:219,CPI:PROD:7.6.2,CPI:PROD:8.6.2,CPI:PROD:9.6.2,CPR:PROD:10.6.2,CPR:PROD:11.6.2,CPR:PROD:215,CPR:PROD:216,CPR:PROD:217,CPR:PROD:218,CPR:PROD:219,CPR:PROD:7.6.2,CPR:PROD:8.6.2,CPR:PROD:9.6.2,CTFAC:PROD:10.6.2,CTFAC:PROD:11.6.2,CTFAC:PROD:215,CTFAC:PROD:216,CTFAC:PROD:217,CTFAC:PROD:218,CTFAC:PROD:219,CTFAC:PROD:7.6.2,CTFAC:PROD:8.6.2,CTFAC:PROD:9.6.2,FGOR,FGPR,FGPT,FOE,FOPR,FOPT,FWCT,FWPR,FWPT,TIME,WBHP:PROD,WGPR:PROD,WGPT:PROD,WOPR:PROD,WOPT:PROD,WWCT:PROD,WWPR:PROD,WWPT:PROD,YEARS,
0.00,01/01/1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,549.597,549.597,549.597,549.597,1099.19,549.597,549.597,549.597,549.597,1099.19,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,
1.00,02/01/1990,1515.75,1806.21,1545.13,1394.77,2738.14,1515.75,1806.21,1545.13,1394.77,2738.14,162.52,158.922,165.137,165.533,330.924,162.52,158.922,165.137,165.533,330.924,3561.89,3559.03,3565.42,3565.29,3564.57,3561.89,3559.03,3565.42,3565.29,3564.57,549.597,549.597,549.597,549.597,1099.19,549.597,549.597,549.597,549.597,1099.19,1.38115,9711.76,9711.76,0.00062266,7031.62,7031.62,0.218709,1968.38,1968.38,1,3556.79,9711.76,9711.76,7031.62,7031.62,0.218709,1968.38,1968.38,0.00273785,
3.50,04/01/1990,1500.41,1747.93,1573.11,1415.81,2762.73,1500.41,1747.93,1573.11,1415.81,2762.73,116.729,109.324,121.052,122.839,246.201,116.729,109.324,121.052,122.839,246.201,3552.25,3549.36,3555.86,3555.73,3554.99,3552.25,3549.36,3555.86,3555.73,3554.99,549.597,549.597,549.597,549.597,1099.19,549.597,549.597,549.597,549.597,1099.19,1.37893,9000.46,32180.9,0.00206556,6527.14,23326.3,0.274762,2472.86,8141.74,3.49645,3547.14,9000.46,32180.9,6527.14,23326.3,0.274762,2472.86,8141.74,0.00957275,
10.22,11/01/1990,1480.25,1770.86,1602.61,1405.77,2740.51,1480.25,1770.86,1602.61,1405.77,2740.51,76.9705,85.5783,89.0209,79.1287,155.474,76.9705,85.5783,89.0209,79.1287,155.474,3535.02,3532.18,3538.6,3538.46,3537.71,3535.02,3532.18,3538.6,3538.46,3537.71,549.597,549.597,549.597,549.597,1099.19,549.597,549.597,549.597,549.597,1099.19,1.37702,7512.36,82687.4,0.00531342,5455.54,60004.5,0.393829,3544.46,31971.6,10.2196,3529.97,7512.36,82687.4,5455.54,60004.5,0.393829,3544.46,31971.6,0.0279796,
18.38,19/01/1990,1476.72,1753.67,1610.42,1409.59,2749.6,1476.72,1753.67,1610.42,1409.59,2749.6,56.9978,68.751,73.0447,59.4205,114.802,56.9978,68.751,73.0447,59.4205,114.802,3518.12,3515.3,3521.69,3521.55,3520.81,3518.12,3515.3,3521.69,3521.55,3520.81,549.597,549.597,549.597,549.597,1099.19,549.597,549.597,549.597,549.597,1099.19,1.3732,6244.51,133634,0.00859868,4547.42,97104.9,0.494731,4452.58,68298.2,18.3781,3513.12,6244.51,133634,4547.42,97104.9,0.494731,4452.58,68298.2,0.0503166,
36.42,06/02/1990,1482.73,1720.07,1597.13,1421.58,2778.48,1482.73,1720.07,1597.13,1421.58,2778.48,36.8954,49.3358,54.04,38.9716,73.4396,36.8954,49.3358,54.04,38.9716,73.4396,3485.57,3482.76,3489.11,3488.97,3488.24,3485.57,3482.76,3489.11,3488.97,3488.24,549.597,549.597,549.597,549.597,1099.19,549.597,549.597,549.597,549.597,1099.19,1.36434,4623.6,217061,0.0140134,3388.9,158254,0.623456,5611.1,169544,36.4219,3480.61,4623.6,217061,3388.9,158254,0.623456,5611.1,169544,0.0997179,
64.02,06/03/1990,1489.36,1687.47,1578.58,1434.32,2810.27,1489.36,1687.47,1578.58,1434.32,2810.27,22.9914,34.1624,39.4584,24.8132,44.956,22.9914,34.1624,39.4584,24.8132,44.956,3439.9,3437.1,3443.42,3443.29,3442.57,3439.9,3437.1,3443.42,3443.29,3442.57,549.597,549.597,549.597,549.597,1099.19,549.597,549.597,549.597,549.597,1099.19,1.35197,3247.67,306696,0.0198843,2402.17,224553,0.733092,6597.83,351643,64.0218,3434.98,3247.67,306696,2402.17,224553,0.733092,6597.83,351643,0.175282,
100.00,11/04/1990,1489.42,1676.99,1579.97,1436.29,2817.34,1489.42,1676.99,1579.97,1436.29,2817.34,14.2651,23.3462,28.8826,15.8481,27.4894,14.2651,23.3462,28.8826,15.8481,27.4894,3384.49,3381.71,3387.99,3387.86,3387.15,3384.49,3381.71,3387.99,3387.86,3387.15,549.597,549.597,549.597,549.597,1099.19,549.597,549.597,549.597,549.597,1099.19,1.34004,2241,387323,0.0252121,1672.34,284721,0.814184,7327.66,615279,100,3379.6,2241,387323,1672.34,284721,0.814184,7327.66,615279,0.273785,
150.00,31/05/1990,1486.15,1671.58,1582.53,1432.65,2827.09,1486.15,1671.58,1582.53,1432.65,2827.09,8.70547,14.8016,20.4352,10.0149,16.5681,8.70547,14.8016,20.4352,10.0149,16.5681,3313.03,3310.26,3316.52,3316.39,3315.68,3313.03,3310.26,3316.52,3316.39,3315.68,549.597,549.597,549.597,549.597,1099.19,549.597,549.597,549.597,549.597,1099.19,1.32512,1480.93,461370,0.0301602,1117.58,340600,0.875824,7882.42,1.0094e+06,150,3308.17,1480.93,461370,1117.58,340600,0.875824,7882.42,1.0094e+06,0.410678,
200.00,20/07/1990,1495.16,1661.57,1567.06,1436.83,2839.38,1495.16,1661.57,1567.06,1436.83,2839.38,5.8338,9.54403,15.0212,6.87386,11.1429,5.8338,9.54403,15.0212,6.87386,11.1429,3246.24,3243.47,3249.71,3249.59,3248.88,3246.24,3243.47,3249.71,3249.59,3248.88,549.597,549.597,549.597,549.597,1099.19,549.597,549.597,549.597,549.597,1099.19,1.31523,1022.35,512488,0.0336018,777.319,379466,0.913631,8222.68,1.42053e+06,200,3241.39,1022.35,512488,777.319,379466,0.913631,8222.68,1.42053e+06,0.54757,
